compound_id,log2FC,pval,comparison,condition,timepoint_h,adj_pval,significant
UT_HILIC_POS_32417,-3.1903838440716896,0.0334664172326894,P_vs_0h_t144h,P,144,0.0599965863972453,False
UT_HILIC_POS_69714,-1.7224743306463424,0.0182818873992497,P_vs_0h_t144h,P,144,0.0365399081047667,True
UT_HILIC_POS_78974,2.0488964383104715,0.0061133746171093,P_vs_0h_t144h,P,144,0.0143993485212222,True
UT_HILIC_POS_81688,3.744279945810917,0.0008680625268809,P_vs_0h_t144h,P,144,0.0032689440038143,True
UT_HILIC_POS_63834,-3.855300980055752,0.001500889359138,P_vs_0h_t144h,P,144,0.0050717631104427,True
UT_HILIC_POS_61842,-9.144582380780044,0.1852571767253503,P_vs_0h_t144h,P,144,0.2389458614713659,False
UT_HILIC_POS_78202,-2.825751588614072,0.0021374531202255,P_vs_0h_t144h,P,144,0.0065188062292138,True
UT_HILIC_POS_89246,-8.196757885162986,0.2426419590426703,P_vs_0h_t144h,P,144,0.3007974407241524,False
UT_HILIC_POS_28833,5.718616684797446,0.0047591662916429,P_vs_0h_t144h,P,144,0.0118283824553659,True
UT_HILIC_POS_66432,-0.0124354326100526,0.9985797152529606,P_vs_0h_t144h,P,144,0.9985797152529606,False
UT_HILIC_POS_74827,-1.3372507418226007,0.0177827995545384,P_vs_0h_t144h,P,144,0.0356354268560188,True
UT_HILIC_POS_19284,1.610829180979927,0.0315899485109232,P_vs_0h_t144h,P,144,0.0575764418693137,False
UT_HILIC_POS_80498,-3.747731975782667,0.5567117432320379,P_vs_0h_t144h,P,144,0.6036300841984773,False
UT_HILIC_POS_77444,-19.798818699757625,9.237243405425971e-05,P_vs_0h_t144h,P,144,0.0005136125527168,True
UT_HILIC_POS_13434,-2.7259461013682618,0.0048177945271748,P_vs_0h_t144h,P,144,0.0119546894993592,True
UT_HILIC_POS_11095,3.1638728717589046,3.181603172924185e-05,P_vs_0h_t144h,P,144,0.0002108672925431,True
UT_HILIC_POS_79326,-0.2091870808582747,0.6307271084137822,P_vs_0h_t144h,P,144,0.6752749671199305,False
UT_HILIC_POS_74460,2.007731684493802,0.0018777946855189,P_vs_0h_t144h,P,144,0.0059792901873332,True
UT_HILIC_POS_85486,0.3070186030073962,0.3926130836225086,P_vs_0h_t144h,P,144,0.4465755059628979,False
UT_HILIC_POS_85554,0.3641705920076603,0.3897029368810435,P_vs_0h_t144h,P,144,0.445405057456313,False
UT_HILIC_POS_75871,13.528593533397776,0.0564834091729897,P_vs_0h_t144h,P,144,0.0908362389116043,False
UT_HILIC_POS_41054,12.5956185668974,0.0763811536804676,P_vs_0h_t144h,P,144,0.1138651862558869,False
UT_HILIC_POS_69595,-3.790652216958462,0.3910022189557705,P_vs_0h_t144h,P,144,0.445405057456313,False
UT_HILIC_POS_45819,3.749378357950583,0.0034045782349092,P_vs_0h_t144h,P,144,0.0092912821348414,True
UT_HILIC_POS_14458,2.7853853072458854,0.0007976247894533,P_vs_0h_t144h,P,144,0.0031303210230969,True
UT_HILIC_POS_21237,2.2755015855333234,0.001959384291527,P_vs_0h_t144h,P,144,0.0061345958084416,True
UT_HILIC_POS_17451,5.167070920804932,0.0002060014086513,P_vs_0h_t144h,P,144,0.0010530982184969,True
UT_HILIC_POS_47067,-12.380613103263592,0.0577928966344828,P_vs_0h_t144h,P,144,0.0916422008425142,False
UT_HILIC_POS_26750,-1.332104885515978,0.0620789488799884,P_vs_0h_t144h,P,144,0.096294701859435,False
UT_HILIC_POS_30073,-2.256700720569203,0.0021906383207216,P_vs_0h_t144h,P,144,0.0066677281690355,True
UT_HILIC_POS_45638,4.593900597497708,0.0002990951678363,P_vs_0h_t144h,P,144,0.0014429427591421,True
UT_HILIC_POS_19715,-0.305724255105094,0.3869546137883553,P_vs_0h_t144h,P,144,0.445405057456313,False
